Name,Platform,Year,Genre,Publisher,Global_Sales
Wii Sports,Wii,2006,Sports,Nintendo,82.74
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.82
Wii Sports Resort,Wii,2009,Sports,Nintendo,33
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37
Tetris,GB,1989,Puzzle,Nintendo,30.26
New Super Mario Bros.,DS,2006,Platform,Nintendo,30.01
Wii Play,Wii,2006,Misc,Nintendo,29.02
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.62
Duck Hunt,NES,1984,Shooter,Nintendo,28.31
Nintendogs,DS,2005,Simulation,Nintendo,24.76
Mario Kart DS,DS,2005,Racing,Nintendo,23.42
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.1
Wii Fit,Wii,2007,Sports,Nintendo,22.72
Wii Fit Plus,Wii,2009,Sports,Nintendo,22
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.82
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.4
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81
Super Mario World,SNES,1990,Platform,Nintendo,20.61
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.22
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.36
Super Mario Land,GB,1989,Platform,Nintendo,18.14
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.38
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,15.85
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,15.32
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.3
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.76
Pok̩mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,14.64
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.64
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,14.35
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,14.24
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,14.03
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.73
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.51
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.46
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,13.04
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.73
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.27
Mario Kart 7,3DS,2011,Racing,Nintendo,12.21
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.14
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,11.98
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,11.9
Super Mario 64,N64,1996,Platform,Nintendo,11.89
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,11.33
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.02
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.79
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.77
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.69
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.57
Super Mario All-Stars,SNES,1993,Platform,Nintendo,10.55
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,10.49
Super Mario 64,DS,2004,Platform,Nintendo,10.42
Just Dance 3,Wii,2011,Misc,Ubisoft,10.26
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.21
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.88
Mario Kart 64,N64,1996,Racing,Nintendo,9.87
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.82
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.76
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.59
Just Dance 2,Wii,2010,Misc,Ubisoft,9.52
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.32
Donkey Kong Country,SNES,1994,Platform,Nintendo,9.3
Minecraft,X360,2013,Misc,Microsoft Game Studios,9.2
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.09
Mario Party DS,DS,2007,Misc,Nintendo,9.02
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.84
Super Mario Kart,SNES,1992,Racing,Nintendo,8.76
FIFA 16,PS4,2015,Sports,Electronic Arts,8.49
Wii Party,Wii,2010,Misc,Nintendo,8.49
Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49
Mario Party 8,Wii,2007,Misc,Nintendo,8.42
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,8.33
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.24
The Sims 3,PC,2009,Simulation,Electronic Arts,8.11
GoldenEye 007,N64,1997,Shooter,Nintendo,8.09
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,8.06
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86
Pok̩mon Platinum Version,DS,2008,Role-Playing,Nintendo,7.84
Pac-Man,2600,1982,Puzzle,Atari,7.81
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.72
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.69
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,7.67
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.6
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,7.6
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,7.58
Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,7.45
Call of Duty: World at War,X360,2008,Shooter,Activision,7.37
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.34
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.31
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,7.3
Just Dance,Wii,2009,Misc,Ubisoft,7.27
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.23
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07
Mario Kart 8,WiiU,2014,Racing,Nintendo,6.96
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,6.96
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,6.95
Just Dance 4,Wii,2012,Misc,Ubisoft,6.91
FIFA 14,PS3,2013,Sports,Electronic Arts,6.9
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.83
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,6.82
Zumba Fitness,Wii,2010,Sports,505 Games,6.81
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.76
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.73
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.72
FIFA 12,PS3,2011,Sports,Electronic Arts,6.69
Big Brain Academy,DS,2005,Misc,Nintendo,6.67
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.6
FIFA 15,PS4,2014,Sports,Electronic Arts,6.59
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.59
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.56
The Legend of Zelda,NES,1986,Action,Nintendo,6.51
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.5
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43
Pok̩mon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4
Pok̩mon Crystal Version,GB,2000,Role-Playing,Nintendo,6.39
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.36
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.34
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3
World of Warcraft,PC,2004,Role-Playing,Activision,6.28
Driver,PS,1999,Action,GT Interactive,6.27
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.24
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.24
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.11
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,6.03
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.99
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.92
